auc	precision	recall	fscore_pos	fscore_tot
0.95652173913	0.67	0.5	0.57	0.77
0.978723404255	0.6	1.0	0.75	0.865
0.93023255814	0.71	0.71	0.71	0.83
0.958333333333	0.8	0.67	0.73	0.85
0.951111111111	1.0	0.6	0.75	0.865
0.967479674797	0.78	0.78	0.78	0.865
0.939393939394	0.5	0.5	0.5	0.715
0.767441860465	0.43	0.43	0.43	0.67
0.937669376694	0.83	0.56	0.67	0.805
0.973214285714	1.0	0.75	0.86	0.92
0.921985815603	0.33	0.33	0.33	0.645
0.957446808511	0.5	0.33	0.4	0.685
0.986666666667	0.8	0.8	0.8	0.89
0.931818181818	0.75	0.5	0.6	0.78
0.95	0.8	0.8	0.8	0.875
0.943181818182	0.5	0.33	0.4	0.665
0.954545454545	0.67	0.67	0.67	0.81
0.953488372093	0.8	0.57	0.67	0.81
0.897777777778	0.5	0.6	0.55	0.745
0.913621262458	0.5	0.29	0.36	0.64
0.935	1.0	0.6	0.75	0.85
0.994565217391	0.67	1.0	0.8	0.89
0.880434782609	0.5	0.25	0.33	0.645
0.924444444444	0.67	0.4	0.5	0.73
1.0	1.0	0.83	0.91	0.95
0.942222222222	0.5	0.6	0.55	0.745
0.83630952381	0.75	0.75	0.75	0.85
0.946428571429	0.7	0.88	0.78	0.865
0.897777777778	0.5	0.6	0.55	0.745
0.949561403509	1.0	0.5	0.67	0.8
0.977272727273	0.71	0.83	0.77	0.87
0.75	0.38	0.38	0.38	0.63
0.994565217391	0.67	1.0	0.8	0.89
0.90365448505	0.75	0.43	0.55	0.745
0.955555555556	0.75	0.6	0.67	0.82
0.791111111111	0.5	0.6	0.55	0.745
0.795555555556	0.75	0.6	0.67	0.82
0.946666666667	0.75	0.6	0.67	0.82
0.893939393939	0.67	0.67	0.67	0.81
0.988344988345	1.0	0.55	0.71	0.825
0.977777777778	0.67	0.4	0.5	0.73
0.940217391304	0.5	0.75	0.6	0.78
0.973484848485	0.67	0.67	0.67	0.81
0.94696969697	0.62	0.83	0.71	0.83
0.939393939394	0.67	0.67	0.67	0.81
0.906976744186	0.5	0.29	0.36	0.64
0.885869565217	0.5	0.5	0.5	0.73
0.948509485095	0.62	0.89	0.73	0.825
0.968888888889	1.0	0.8	0.89	0.94
0.977777777778	0.71	1.0	0.83	0.905
0.923913043478	0.6	0.75	0.67	0.82
0.910569105691	0.67	0.67	0.67	0.8
0.795454545455	0.57	0.67	0.62	0.78
0.928571428571	0.62	0.62	0.62	0.775
0.958333333333	0.0	0.0	0.0	0.485
0.906976744186	0.62	0.71	0.67	0.805
0.952380952381	0.75	0.75	0.75	0.85
0.9275	0.67	0.6	0.63	0.77
0.897777777778	0.57	0.8	0.67	0.81
0.946843853821	0.67	0.57	0.62	0.78
0.969696969697	1.0	0.64	0.78	0.865
0.916666666667	0.8	0.67	0.73	0.85
0.946843853821	0.71	0.71	0.71	0.83
0.986710963455	0.86	0.86	0.86	0.92
0.977777777778	0.67	0.8	0.73	0.85
0.960132890365	0.83	0.71	0.77	0.87
0.878787878788	0.8	0.73	0.76	0.85
0.845528455285	0.6	0.33	0.43	0.67
0.673758865248	1.0	0.33	0.5	0.74
0.886904761905	1.0	0.75	0.86	0.92
0.943262411348	0.4	0.67	0.5	0.73
0.923588039867	0.8	0.57	0.67	0.81
0.931547619048	0.62	0.62	0.62	0.775
0.975609756098	0.88	0.78	0.82	0.89
0.731934731935	0.5	0.27	0.35	0.61
0.9375	0.17	0.5	0.25	0.59
0.883720930233	0.4	0.29	0.33	0.62
0.920265780731	0.67	0.57	0.62	0.78
0.949404761905	0.75	0.75	0.75	0.85
0.921985815603	0.5	0.67	0.57	0.77
0.861842105263	0.58	0.58	0.58	0.725
0.920454545455	1.0	0.67	0.8	0.89
0.931547619048	1.0	0.38	0.55	0.745
0.965909090909	0.8	0.67	0.73	0.85
0.875	0.67	0.5	0.57	0.77
0.965034965035	0.78	0.64	0.7	0.81
0.884444444444	0.6	0.6	0.6	0.78
0.850948509485	0.8	0.44	0.57	0.75
